stamp x_cord y_cord r1 r2 r3 r4
0 -1.0 -1.0 1.294 6.967 10.394 7.398
1 -0.93 -0.93 1.05 7.351 9.941 6.923
2 -0.86 -0.86 1.465 6.546 9.27 6.562
3 -0.79 -0.79 1.289 7.243 9.254 6.896
4 -0.72 -0.72 1.132 6.38 9.194 6.419
5 -0.65 -0.65 0.654 6.412 9.552 6.247
6 -0.58 -0.58 0.663 6.822 9.24 6.554
7 -0.51 -0.51 0.408 6.511 8.719 6.421
8 -0.44 -0.44 0.964 6.82 9.494 6.829
9 -0.37 -0.37 0.76 6.135 8.542 6.025
10 -0.3 -0.3 0.561 6.391 9.053 6.739
11 -0.23 -0.23 0.377 5.85 8.948 5.783
12 -0.16 -0.16 0.547 5.966 8.42 6.323
13 -0.09 -0.09 -0.065 6.542 8.711 5.65
14 -0.02 -0.02 -0.081 6.121 8.26 6.258
15 0.05 0.05 0.309 6.223 8.511 5.954
16 0.12 0.12 0.27 6.362 7.957 5.732
17 0.19 0.19 -0.045 5.955 7.944 5.918
18 0.26 0.26 -0.013 5.451 8.008 5.607
19 0.33 0.33 0.926 5.366 8.161 5.484
20 0.4 0.4 0.583 5.966 7.921 5.499
21 0.47 0.47 0.552 5.714 8.141 5.276
22 0.54 0.54 0.989 5.911 8.08 5.346
23 0.61 0.61 0.927 5.312 7.206 5.172
24 0.68 0.68 0.583 5.781 7.337 5.255
25 0.75 0.75 1.021 5.387 7.324 4.897
26 0.82 0.82 1.341 4.839 7.16 5.221
27 0.89 0.89 1.135 5.139 6.918 5.169
28 0.96 0.96 1.372 5.084 6.657 4.865
29 1.03 1.03 1.423 4.839 6.614 4.661
30 1.1 1.1 1.797 5.51 6.608 4.771
31 1.17 1.17 1.877 4.773 7.309 5.13
32 1.24 1.24 1.739 5.211 6.697 4.853
33 1.31 1.31 1.491 5.145 6.725 4.583
34 1.38 1.38 1.842 5.126 7.03 5.154
35 1.45 1.45 1.794 4.763 6.795 4.635
36 1.52 1.52 2.168 5.178 6.071 4.885
37 1.59 1.59 1.877 4.345 6.693 5.108
38 1.66 1.66 2.78 5.046 6.62 4.989
39 1.73 1.73 2.374 4.708 5.574 5.084
40 1.8 1.8 2.224 4.224 6.032 5.042
41 1.87 1.87 2.711 4.795 6.244 4.495
42 1.94 1.94 3.025 4.025 5.988 4.079
43 2.01 2.01 2.353 4.627 5.976 4.516
44 2.08 2.08 2.555 4.771 5.229 4.403
45 2.15 2.15 2.998 4.607 5.006 3.956
46 2.22 2.22 2.784 4.035 5.786 3.954
47 2.29 2.29 3.203 4.171 4.798 4.287
48 2.36 2.36 3.473 4.422 4.804 4.358
49 2.43 2.43 3.155 4.358 5.145 4.673
50 2.5 2.5 3.286 4.336 5.099 4.441
51 2.5 2.5 3.205 4.056 5.034 4.106
52 2.57 2.43 3.942 4.393 5.336 3.981
53 2.64 2.36 3.299 4.632 4.52 4.461
54 2.71 2.29 3.493 4.542 5.201 4.08
55 2.78 2.22 3.097 5.164 5.082 3.595
56 2.85 2.15 3.139 5.155 5.247 3.77
57 2.92 2.08 3.575 4.946 4.824 3.562
58 2.99 2.01 3.789 4.986 5.265 3.329
59 3.06 1.94 3.192 5.15 4.583 3.103
60 3.13 1.87 3.626 4.835 4.756 3.551
61 3.2 1.8 3.335 5.35 5.017 3.34
62 3.27 1.73 3.317 5.856 5.513 2.812
63 3.34 1.66 3.365 5.601 4.752 2.965
64 3.41 1.59 3.316 5.846 4.682 3.144
65 3.48 1.52 4.122 5.266 5.491 3.001
66 3.55 1.45 3.732 5.848 4.958 2.463
67 3.62 1.38 3.711 5.493 5.573 3.011
68 3.69 1.31 3.754 5.838 5.32 2.567
69 3.76 1.24 3.887 5.606 5.208 3.003
70 3.83 1.17 3.762 6.412 5.402 2.342
71 3.9 1.1 4.213 6.028 5.143 1.947
72 3.97 1.03 4.029 6.643 5.188 2.521
73 4.04 0.96 3.866 6.363 5.624 2.332
74 4.11 0.89 4.136 6.77 5.792 2.067
75 4.18 0.82 4.056 7.06 5.706 1.986
76 4.25 0.75 4.045 6.69 5.728 1.6
77 4.32 0.68 4.458 6.599 5.668 1.898
78 4.39 0.61 4.827 7.111 5.94 2.108
79 4.46 0.54 4.493 7.423 5.195 1.57
80 4.53 0.47 4.695 7.11 5.534 1.195
81 4.6 0.4 4.871 6.918 5.815 1.674
82 4.67 0.33 4.272 7.293 5.694 1.507
83 4.74 0.26 5.185 7.645 6.124 1.691
84 4.81 0.19 4.636 7.97 6.235 1.255
85 4.88 0.12 4.927 7.872 6.269 0.896
86 4.95 0.05 4.721 7.268 6.416 1.354
87 5.02 -0.02 4.775 7.376 5.617 1.28
88 5.09 -0.09 5.224 7.446 6.359 0.932
89 5.16 -0.16 4.726 7.738 5.854 0.949
90 5.23 -0.23 5.474 8.074 6.383 0.645
91 5.3 -0.3 5.509 8.3 6.089 0.922
92 5.37 -0.37 5.53 8.054 5.929 0.762
93 5.44 -0.44 5.563 8.746 6.887 1.045
94 5.51 -0.51 5.04 8.57 6.872 1.199
95 5.58 -0.58 5.718 8.883 7.018 0.837
96 5.65 -0.65 6.044 8.551 6.638 0.59
97 5.72 -0.72 6.071 9.004 6.778 0.285
98 5.79 -0.79 5.565 9.136 7.175 0.963
99 5.86 -0.86 5.755 8.567 6.801 0.772
100 5.93 -0.93 5.503 8.793 7.141 1.396
101 6.0 -1.0 6.079 8.865 7.075 0.564
102 6.0 -1.0 6.304 8.913 7.057 0.654
103 5.86 -1.0 5.574 8.881 6.805 0.582
104 5.72 -1.0 5.77 8.551 7.433 0.602
105 5.58 -1.0 5.549 8.688 7.229 1.303
106 5.44 -1.0 5.818 8.822 7.384 0.819
107 5.3 -1.0 5.098 9.162 6.675 0.886
108 5.16 -1.0 4.774 8.243 6.941 1.249
109 5.02 -1.0 5.345 8.258 7.421 1.505
110 4.88 -1.0 5.459 8.605 7.535 1.721
111 4.74 -1.0 4.69 8.674 7.161 1.421
112 4.6 -1.0 4.59 8.472 7.595 1.7
113 4.46 -1.0 4.293 8.589 7.138 1.912
114 4.32 -1.0 4.06 8.67 6.919 2.246
115 4.18 -1.0 4.327 7.681 7.28 2.557
116 4.04 -1.0 3.939 8.425 7.406 2.466
117 3.9 -1.0 4.343 8.473 7.65 2.046
118 3.76 -1.0 3.678 8.03 7.562 2.934
119 3.62 -1.0 3.82 7.665 6.912 3.049
120 3.48 -1.0 3.301 7.853 7.672 2.928
121 3.34 -1.0 3.317 7.597 7.197 3.291
122 3.2 -1.0 3.508 8.05 7.919 3.221
123 3.06 -1.0 3.243 7.32 7.911 2.969
124 2.92 -1.0 3.475 7.883 7.449 3.372
125 2.78 -1.0 3.327 7.688 7.622 3.29
126 2.64 -1.0 3.08 7.238 8.225 3.069
127 2.5 -1.0 2.517 7.564 7.365 3.88
128 2.36 -1.0 2.42 7.789 7.464 3.324
129 2.22 -1.0 2.087 7.571 7.467 3.771
130 2.08 -1.0 2.433 7.178 8.172 4.388
131 1.94 -1.0 2.305 7.419 7.804 3.823
132 1.8 -1.0 2.15 7.107 7.702 4.496
133 1.66 -1.0 1.478 6.708 8.092 4.917
134 1.52 -1.0 1.909 7.598 8.375 4.999
135 1.38 -1.0 1.435 6.677 8.138 4.778
136 1.24 -1.0 1.844 6.831 8.306 4.914
137 1.1 -1.0 1.661 7.39 8.44 5.436
138 0.96 -1.0 1.457 7.348 8.815 5.568
139 0.82 -1.0 1.433 7.43 8.393 5.368
140 0.68 -1.0 1.143 6.621 8.921 5.32
141 0.54 -1.0 1.113 6.548 8.524 5.421
142 0.4 -1.0 1.513 6.806 9.442 5.348
143 0.26 -1.0 1.398 6.768 9.518 5.842
144 0.12 -1.0 0.679 7.339 9.623 5.662
145 -0.02 -1.0 0.916 6.679 9.039 6.327
146 -0.16 -1.0 1.463 7.3 8.997 6.218
